name,color,x,y
mrfp1,red,4620,2801
mrfp1,red,4633,2703
mrfp1,red,4484,2749
NNN157D,purple,4250,239
NNN157D,purple,4412,239
NNN157D,purple,4536,246
NNN157D,purple,4406,330
NNN157D,purple,4283,402
NNN157D,purple,4179,427
