Time,Name,Color,Mean_gray,Gray
160,NNN157D,purple,124.35833333333332,"[115.08, 140.15, 163.26, 89.67, 118.08, 119.91]"
165,mrfp1,red,154.12,"[153.31, 152.05, 157.0]"
165,NNN157D,purple,128.93833333333333,"[120.68, 144.56, 166.78, 92.99, 123.53, 125.09]"
170,mrfp1,red,149.37,"[149.18, 147.0, 151.93]"
170,NNN157D,purple,124.50166666666668,"[116.5, 140.33, 163.09, 89.82, 117.68, 119.59]"
175,NNN157D,purple,124.24,"[115.44, 139.77, 162.96, 89.87, 117.91, 119.49]"
175,mrfp1,red,149.85333333333335,"[149.52, 147.46, 152.58]"
180,mrfp1,red,149.35666666666663,"[148.71, 147.41, 151.95]"
180,NNN157D,purple,123.99833333333336,"[115.59, 140.09, 163.17, 89.12, 117.44, 118.58]"
185,mrfp1,red,149.71666666666667,"[149.44, 147.6, 152.11]"
185,NNN157D,purple,124.35166666666665,"[115.61, 140.12, 163.4, 89.62, 117.79, 119.57]"
190,mrfp1,red,149.26666666666668,"[149.22, 147.02, 151.56]"
190,NNN157D,purple,124.375,"[116.1, 140.53, 163.07, 89.62, 118.07, 118.86]"
195,NNN157D,purple,129.0533333333333,"[120.53, 145.47, 166.4, 93.54, 123.35, 125.03]"
195,mrfp1,red,154.02333333333334,"[152.88, 152.37, 156.82]"
200,mrfp1,red,148.91,"[148.4, 147.27, 151.06]"
200,NNN157D,purple,123.97666666666667,"[115.43, 140.28, 163.17, 89.81, 117.15, 118.02]"
205,mrfp1,red,149.27,"[148.78, 146.57, 152.46]"
205,NNN157D,purple,124.45500000000004,"[115.98, 140.74, 163.71, 89.94, 118.02, 118.34]"
210,mrfp1,red,149.17666666666668,"[148.61, 147.05, 151.87]"
210,NNN157D,purple,124.03333333333332,"[115.53, 139.97, 163.07, 90.15, 117.57, 117.91]"
215,NNN157D,purple,124.03833333333334,"[115.62, 139.64, 163.31, 90.13, 117.58, 117.95]"
215,mrfp1,red,149.13333333333333,"[148.68, 146.93, 151.79]"
220,NNN157D,purple,124.33333333333331,"[115.63, 140.47, 164.07, 90.32, 117.94, 117.57]"
220,mrfp1,red,149.34333333333333,"[149.01, 147.2, 151.82]"
225,mrfp1,red,149.0,"[148.35, 146.67, 151.98]"
225,NNN157D,purple,124.13333333333334,"[115.55, 140.46, 163.09, 90.49, 117.21, 118.0]"
230,mrfp1,red,149.28666666666666,"[148.78, 147.14, 151.94]"
230,NNN157D,purple,124.20166666666668,"[116.17, 140.53, 163.85, 89.54, 117.43, 117.69]"
235,mrfp1,red,149.23333333333332,"[148.42, 147.02, 152.26]"
235,NNN157D,purple,124.40999999999998,"[116.07, 141.08, 163.11, 90.5, 117.82, 117.88]"
240,mrfp1,red,148.72,"[148.16, 146.54, 151.46]"
240,NNN157D,purple,124.45,"[116.11, 140.64, 163.67, 90.06, 118.2, 118.02]"
245,NNN157D,purple,124.515,"[116.0, 141.07, 163.53, 90.46, 117.59, 118.44]"
245,mrfp1,red,149.18000000000004,"[148.8, 146.91, 151.83]"
250,mrfp1,red,149.1,"[148.42, 147.0, 151.88]"
250,NNN157D,purple,124.43333333333334,"[115.74, 140.75, 163.32, 90.48, 117.98, 118.33]"
255,mrfp1,red,148.86666666666667,"[148.65, 146.92, 151.03]"
255,NNN157D,purple,124.69833333333334,"[116.16, 141.05, 164.46, 90.66, 117.65, 118.21]"
260,mrfp1,red,149.12,"[148.78, 146.8, 151.78]"
260,NNN157D,purple,124.61666666666667,"[116.5, 140.24, 164.31, 90.15, 117.91, 118.59]"
265,NNN157D,purple,124.61166666666666,"[116.21, 141.18, 164.2, 89.86, 117.56, 118.66]"
265,mrfp1,red,149.3733333333333,"[148.97, 147.41, 151.74]"
270,mrfp1,red,149.18999999999997,"[149.2, 146.73, 151.64]"
270,NNN157D,purple,124.48,"[116.19, 140.39, 163.9, 90.28, 117.85, 118.27]"
